apc,statusIndicator,effectiveDate,paymentRate,nationalCoinsurance,minimumCoinsurance
01442,K,20250101,000010.00,00002.00,00002.00
01443,K,20250101,000151.64,00030.33,00030.33
01446,K,20250101,000008.53,00001.71,00001.71
01458,K,20250101,000367.12,00073.43,00073.43
01468,K,20250101,000007.07,00001.42,00001.42
01469,K,20250101,000001.00,00000.20,00000.20
01471,K,20250101,000016.12,00003.23,00003.23
01472,K,20250101,000056.23,00011.25,00011.25
01474,K,20250101,000004.65,00000.94,00000.94
01475,K,20250101,000011.10,00002.22,00002.22
01476,K,20250101,000074.59,00014.92,00014.92
01478,K,20250101,000001.45,00000.29,00000.29
01480,K,20250101,000293.92,00058.79,00058.79
01482,K,20250101,000003.04,00000.61,00000.61
01485,K,20250101,000000.34,00000.07,00000.07
01486,K,20250101,000003.59,00000.72,00000.72
01488,K,20250101,000071.07,00014.22,00014.22
01489,K,20250101,000022.26,00004.46,00004.46
01490,K,20250101,000058.22,00011.65,00011.65
01491,S,20250101,000005.00,00001.00,00001.00
01492,S,20250101,000015.50,00003.10,00003.10
01493,S,20250101,000025.50,00005.10,00005.10
01494,S,20250101,000035.50,00007.10,00007.10
01495,S,20250101,000045.50,00009.10,00009.10
01496,T,20250101,000005.00,00001.00,00001.00
01497,T,20250101,000015.50,00003.10,00003.10
01498,T,20250101,000025.50,00005.10,00005.10
01499,T,20250101,000035.50,00007.10,00007.10
01500,T,20250101,000045.50,00009.10,00009.10
